id,name,product_category_id,scale,vendor_name,description,quantity_stock,price
123148,1969 Corvair Monza,2,1:18,Welly Diecast Productions,"1:18 scale die-cast about 10\"" long doors open, hood opens, trunk opens and wheels roll",6906,89.14
123380,1968 Dodge Charger,2,1:12,Welly Diecast Productions,"1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black",9123,75.16
123891,1969 Ford Falcon,2,1:12,Second Gear Diecast,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1049,83.05
123990,1970 Plymouth Hemi Cuda,2,1:12,Studio M Art Models,Very detailed 1970 Plymouth Cuda model in 1:12 scale. The Cuda is generally accepted as one of the fastest original muscle cars from the 1970s. This model is a reproduction of one of the orginal 652 cars built in 1970. Red color.,5663,31.92
124473,1957 Chevy Pickup,3,1:12,Exoto Designs,"1:12 scale die-cast about 20\"" long Hood opens, Rubber wheels",6125,55.7
124675,1969 Dodge Charger,2,1:12,Welly Diecast Productions,Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.,7323,58.73
181097,1940 Ford Pickup Truck,3,1:18,Studio M Art Models,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",2613,58.33
181129,1993 Mazda RX-7,2,1:18,Highway 66 Mini Classics,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color red.",3975,83.51
181342,1937 Lincoln Berline,4,1:18,Motor City Art Classics,"Features opening engine cover, doors, trunk, and fuel filler cap. Color black",8693,60.62
181367,1936 Mercedes-Benz 500K Special Roadster,4,1:18,Studio M Art Models,"This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat, independent spring suspension, detailed interior, working steering system, and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.",8635,24.26
181589,1965 Aston Martin DB5,2,1:18,Classic Metal Creations,"Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale, this model measures approximately 10 inches/20 cm long.",9042,65.96
181662,1980s Black Hawk Helicopter,5,1:18,Red Start Diecast,"1:18 scale replica of actual Army`s UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades, propeller blades and rubber wheels.",5330,77.27
181749,1917 Grand Touring Sedan,4,1:18,Welly Diecast Productions,"This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish.",2724,86.7
181889,1948 Porsche 356-A Roadster,2,1:18,Gearbox Collectibles,"This precision die-cast replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",8826,53.9
181984,1995 Honda Civic,2,1:18,Min Lin Diecast,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color yellow.",9772,93.89
182238,1998 Chrysler Plymouth Prowler,2,1:18,Gearbox Collectibles,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,4724,101.51
182248,1911 Ford Town Car,4,1:18,Motor City Art Classics,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system.",540,33.3
182319,1964 Mercedes Tour Bus,3,1:18,Unimax Art Galleries,"Exact replica. 100+ parts. working steering system, original logos",8258,74.86
182325,1932 Model A Ford J-Coupe,4,1:18,Autoart Studio Design,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine",9354,58.48
182432,1926 Ford Fire Engine,3,1:18,Carousel DieCast Legends,"Gleaming red handsome appearance. Everything is here the fire hoses, ladder, axes, bells, lanterns, ready to fight any inferno.",2018,24.92
182581,P-51-D Mustang,5,1:72,Gearbox Collectibles,Has retractable wheels and comes with a stand,992,49.0
182625,1936 Harley Davidson El Knucklehead,1,1:18,Welly Diecast Productions,"Intricately detailed with chrome accents and trim, official die-struck logos and baked enamel finish.",4357,24.23
182795,1928 Mercedes-Benz SSK,4,1:18,Gearbox Collectibles,"This 1:18 replica features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine. Color black.",548,72.56
182870,1999 Indy 500 Monte Carlo SS,2,1:18,Red Start Diecast,Features include opening and closing doors. Color: Red,8164,56.76
182949,1913 Ford Model T Speedster,4,1:18,Carousel DieCast Legends,"This 250 part reproduction includes moving handbrakes, clutch, throttle and foot pedals, squeezable horn, detailed wired engine, removable water, gas, and oil cans, pivoting monocle windshield, all topped with a baked enamel red finish. Each replica comes with an Owners Title and Certificate of Authenticity. Color red.",4189,60.78
182957,1934 Ford V8 Coupe,4,1:18,Min Lin Diecast,"Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",5649,34.35
183029,1999 Yamaha Speed Boat,6,1:18,Min Lin Diecast,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",4259,51.61
183136,18th Century Vintage Horse Carriage,4,1:18,Red Start Diecast,"Hand crafted diecast-like metal horse carriage is re-created in about 1:18 scale of antique horse carriage. This antique style metal Stagecoach is all hand-assembled with many different parts.\r\n\r\nThis collectible metal horse carriage is painted in classic Red, and features turning steering wheel and is entirely hand-finished.",5992,60.74
183140,1903 Ford Model A,4,1:18,Unimax Art Galleries,"Features opening trunk,  working steering system",3913,68.3
183232,1992 Ferrari 360 Spider red,2,1:18,Unimax Art Galleries,"his replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",8347,77.9
183233,1985 Toyota Supra,2,1:18,Highway 66 Mini Classics,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood, removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",7733,57.01
183259,Collectable Wooden Train,7,1:18,Carousel DieCast Legends,"Hand crafted wooden toy train set is in about 1:18 scale, 25 inches in total length including 2 additional carts, of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.",6450,67.56
183278,1969 Dodge Super Bee,2,1:18,Min Lin Diecast,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",1917,49.05
183320,1917 Maxwell Touring Car,4,1:18,Exoto Designs,"Features Gold Trim, Full Size Spare Tire, Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",7913,57.54
183482,1976 Ford Gran Torino,2,1:18,Gearbox Collectibles,"Highly detailed 1976 Ford Gran Torino \""Starsky and Hutch\"" diecast model. Very well constructed and painted in red and white patterns.",9127,73.49
183685,1948 Porsche Type 356 Roadster,2,1:18,Gearbox Collectibles,"This model features working front and rear suspension on accurately replicated and actuating shock absorbers as well as opening engine cover, rear stabilizer flap,  and 4 opening doors.",8990,62.16
183782,1957 Vespa GS150,1,1:18,Studio M Art Models,"Features rotating wheels , working kick stand. Comes with stand.",7689,32.95
183856,1941 Chevrolet Special Deluxe Cabriolet,4,1:18,Exoto Designs,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system, leather upholstery. Color black.",2378,64.58
184027,1970 Triumph Spitfire,2,1:18,Min Lin Diecast,Features include opening and closing doors. Color: White.,5545,91.92
184409,1932 Alfa Romeo 8C2300 Spider Sport,4,1:18,Exoto Designs,"This 1:18 scale precision die cast replica features the 6 front headlights of the original, plus a detailed version of the 142 horsepower straight 8 engine, dual spares and their famous comprehensive dashboard. Color black.",6553,43.26
184522,1904 Buick Runabout,4,1:18,Exoto Designs,"Features opening trunk,  working steering system",8290,52.66
184600,1940s Ford truck,3,1:18,Motor City Art Classics,"This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940`s Pick-Up truck is painted in classic dark green color, and features rotating wheels.",3128,84.76
184668,1939 Cadillac Limousine,4,1:18,Studio M Art Models,"Features completely detailed interior including Velvet flocked drapes,deluxe wood grain floor, and a wood grain casket with seperate chrome handles",6645,23.14
184721,1957 Corvette Convertible,2,1:18,Classic Metal Creations,1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.,1249,69.93
184933,1957 Ford Thunderbird,2,1:18,Studio M Art Models,"This 1:18 scale precision die-cast replica, with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish, is a 100% accurate rendition of this American classic.",3209,34.21
241046,1970 Chevy Chevelle SS 454,2,1:24,Unimax Art Galleries,"This model features rotating wheels, working streering system and opening doors. All parts are particularly delicate due to their precise scale and require special care and attention. It should not be picked up by the doors, roof, hood or trunk.",1005,49.24
241444,1970 Dodge Coronet,2,1:24,Highway 66 Mini Classics,"1:24 scale die-cast about 18\"" long doors open, hood opens and rubber wheels",4074,32.37
241578,1997 BMW R 1100 S,1,1:24,Autoart Studio Design,Detailed scale replica with working suspension and constructed from over 70 parts,7003,60.86
241628,1966 Shelby Cobra 427 S/C,2,1:24,Carousel DieCast Legends,This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it`s own display case.,8197,29.18
241785,1928 British Royal Navy Airplane,5,1:24,Classic Metal Creations,Official logos and insignias,3627,66.74
241937,1939 Chevrolet Deluxe Coupe,4,1:24,Motor City Art Classics,"This 1:24 scale die-cast replica of the 1939 Chevrolet Deluxe Coupe has the same classy look as the original. Features opening trunk, hood and doors and a showroom quality baked enamel finish.",7332,22.57
242000,1960 BSA Gold Star DBD34,1,1:24,Highway 66 Mini Classics,Detailed scale replica with working suspension and constructed from over 70 parts,15,37.32
242011,18th century schooner,6,1:24,Carousel DieCast Legends,"All wood with canvas sails. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 4 masts, all square-rigged.",1898,82.34
242022,1938 Cadillac V-16 Presidential Limousine,4,1:24,Classic Metal Creations,"This 1:24 scale precision die cast replica of the 1938 Cadillac V-16 Presidential Limousine has all the details of the original, from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish, hood goddess ornament, working jump seats.",2847,20.61
242300,1962 Volkswagen Microbus,3,1:24,Autoart Studio Design,"This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system, opening front doors and tailgate, and famous two-tone factory baked enamel finish, are all topped of by the sliding, real fabric, sunroof.",2327,61.34
242360,1982 Ducati 900 Monster,1,1:24,Highway 66 Mini Classics,"Features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",6840,47.1
242766,1949 Jaguar XK 120,2,1:24,Classic Metal Creations,"Precision-engineered from original Jaguar specification in perfect scale ratio. Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",2350,47.25
242840,1958 Chevy Corvette Limited Edition,2,1:24,Carousel DieCast Legends,"The operating parts of this 1958 Chevy Corvette Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, working streering, opening doors and trunk. Color dark green.",2542,15.91
242841,1900s Vintage Bi-Plane,5,1:24,Autoart Studio Design,Hand crafted diecast-like metal bi-plane is re-created in about 1:24 scale of antique pioneer airplane. All hand-assembled with many different parts. Hand-painted in classic yellow and features correct markings of original airplane.,5942,34.25
242887,1952 Citroen-15CV,2,1:24,Exoto Designs,"Precision crafted hand-assembled 1:18 scale reproduction of the 1952 15CV, with its independent spring suspension, working steering system, opening doors and hood, detailed engine and instrument panel, all topped of with a factory fresh baked enamel finish.",1452,72.82
242972,1982 Lamborghini Diablo,2,1:24,Second Gear Diecast,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",7723,16.24
243151,1912 Ford Model T Delivery Wagon,4,1:24,Min Lin Diecast,"This model features chrome trim and grille, opening hood, opening doors, opening trunk, detailed engine, working steering system. Color white.",9173,46.91
243191,1969 Chevrolet Camaro Z28,2,1:24,Exoto Designs,"1969 Z/28 Chevy Camaro 1:24 scale replica. The operating parts of this limited edition 1:24 scale diecast model car 1969 Chevy Camaro Z28- hood, trunk, wheels, streering, suspension and doors- are particularly delicate due to their precise scale and require special care and attention.",4695,50.51
243371,1971 Alpine Renault 1600s,2,1:24,Welly Diecast Productions,"This 1971 Alpine Renault 1600s replica Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",7995,38.58
243420,1937 Horch 930V Limousine,4,1:24,Autoart Studio Design,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system",2902,26.3
243432,2002 Chevy Corvette,2,1:24,Gearbox Collectibles,"The operating parts of this limited edition Diecast 2002 Chevy Corvette 50th Anniversary Pace car Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, poseable streering, opening doors and trunk.",9446,62.11
243816,1940 Ford Delivery Sedan,4,1:24,Carousel DieCast Legends,"Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System. Color black.",6621,48.64
243856,1956 Porsche 356A Coupe,2,1:18,Classic Metal Creations,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,6600,98.3
243949,Corsair F4U ( Bird Cage),5,1:24,Second Gear Diecast,Has retractable wheels and comes with a stand. Official logos and insignias.,6812,29.34
243969,1936 Mercedes Benz 500k Roadster,4,1:24,Red Start Diecast,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system and rubber wheels. Color black.",2081,21.75
244048,1992 Porsche Cayenne Turbo Silver,2,1:24,Exoto Designs,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",6582,69.78
244258,1936 Chrysler Airflow,4,1:24,Second Gear Diecast,"Features opening trunk,  working steering system. Color dark green.",4710,57.46
244278,1900s Vintage Tri-Plane,5,1:24,Unimax Art Galleries,Hand crafted diecast-like metal Triplane is Re-created in about 1:24 scale of antique pioneer airplane. This antique style metal triplane is all hand-assembled with many different parts.,2756,36.23
244620,1961 Chevrolet Impala,2,1:18,Classic Metal Creations,"This 1:18 scale precision die-cast reproduction of the 1961 Chevrolet Impala has all the features-doors, hood and trunk that open; detailed 409 cubic-inch engine; chrome dashboard and stick shift, two-tone interior; working steering system; all topped of with a factory baked-enamel finish.",7869,32.33
321268,1980’s GM Manhattan Express,3,1:32,Motor City Art Classics,"This 1980’s era new look Manhattan express is still active, running from the Bronx to mid-town Manhattan. Has 35 opeining windows and working lights. Needs a battery.",5099,53.93
321374,1997 BMW F650 ST,1,1:32,Exoto Designs,Features official die-struck logos and baked enamel finish. Comes with stand.,178,66.92
322206,1982 Ducati 996 R,1,1:32,Gearbox Collectibles,"Features rotating wheels , working kick stand. Comes with stand.",9241,24.14
322509,1954 Greyhound Scenicruiser,3,1:32,Classic Metal Creations,"Model features bi-level seating, 50 windows, skylights & glare resistant glass, working steering system, original logos",2874,25.98
323207,1950`s Chicago Surface Lines Streetcar,7,1:32,Gearbox Collectibles,"This streetcar is a joy to see. It has 80 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).",8601,26.72
323522,1996 Peterbilt 379 Stake Bed with Outrigger,3,1:32,Red Start Diecast,"This model features, opening doors, detailed engine, working steering, tinted windows, detailed interior, die-struck logos, removable stakes operating outriggers, detachable second trailer, functioning 360-degree self loader, precision molded resin trailer and trim, baked enamel finish on cab",814,33.61
324289,1928 Ford Phaeton Deluxe,4,1:32,Highway 66 Mini Classics,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system",136,33.02
324485,1974 Ducati 350 Mk3 Desmo,1,1:32,Second Gear Diecast,"This model features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",3341,56.13
501341,1930 Buick Marquette Phaeton,4,1:50,Studio M Art Models,"Features opening trunk,  working steering system",7062,27.06
501392,Diamond T620 Semi-Skirted Tanker,3,1:50,Highway 66 Mini Classics,This limited edition model is licensed and perfectly scaled for Lionel Trains. The Diamond T620 has been produced in solid precision diecast and painted with a fire baked enamel finish. It comes with a removable tanker and is a perfect model to add authenticity to your static train or car layout or to just have on display.,1016,68.29
501514,1962 City of Detroit Streetcar,7,1:50,Classic Metal Creations,"This streetcar is a joy to see. It has 99 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).",1645,37.49
504713,2002 Yamaha YZR M1,1,1:50,Autoart Studio Design,"Features rotating wheels , working kick stand. Comes with stand.",600,34.17
721253,Boeing X-32A JSF,5,1:72,Motor City Art Classics,"10\"" Wingspan with retractable landing gears.Comes with pilot",4857,32.77
723212,Pont Yacht,6,1:72,Unimax Art Galleries,"Measures 38 inches Long x 33 3/4 inches High. Includes a stand.\r\nMany extras including rigging, long boats, pilot house, anchors, etc. Comes with 2 masts, all square-rigged",414,33.3
7001138,The Schooner Bluenose,6,1:700,Autoart Studio Design,"All wood with canvas sails. Measures 31 1/2 inches in Length, 22 inches High and 4 3/4 inches Wide. Many extras.\r\nThe schooner Bluenose was built in Nova Scotia in 1921 to fish the rough waters off the coast of Newfoundland. Because of the Bluenose racing prowess she became the pride of all Canadians. Still featured on stamps and the Canadian dime, the Bluenose was lost off Haiti in 1946.",1897,34.0
7001691,American Airlines: B767-300,5,1:700,Min Lin Diecast,Exact replia with official logos and insignias and retractable wheels,5841,51.15
7001938,The Mayflower,6,1:700,Studio M Art Models,"Measures 31 1/2 inches Long x 25 1/2 inches High x 10 5/8 inches Wide\r\nAll wood with canvas sail. Extras include long boats, rigging, ladders, railing, anchors, side cannons, hand painted, etc.",737,43.3
7002047,HMS Bounty,6,1:700,Unimax Art Galleries,"Measures 30 inches Long x 27 1/2 inches High x 4 3/4 inches Wide. \r\nMany extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",3501,39.83
7002466,America West Airlines B757-200,5,1:700,Motor City Art Classics,Official logos and insignias. Working steering system. Rotating jet engines,9653,68.8
7002610,The USS Constitution Ship,6,1:700,Red Start Diecast,"All wood with canvas sails. Measures 31 1/2\"" Length x 22 3/8\"" High x 8 1/4\"" Width. Extras include 4 boats on deck, sea sprite on bow, anchors, copper railing, pilot houses, etc.",7083,33.97
7002824,1982 Camaro Z28,2,1:18,Carousel DieCast Legends,"Features include opening and closing doors. Color: White. \r\nMeasures approximately 9 1/2\"" Long.",6934,46.53
7002834,ATA: B757-300,5,1:700,Highway 66 Mini Classics,Exact replia with official logos and insignias and retractable wheels,7106,59.33
7003167,F/A 18 Hornet 1/72,5,1:72,Motor City Art Classics,"10\"" Wingspan with retractable landing gears.Comes with pilot",551,54.4
7003505,The Titanic,6,1:700,Carousel DieCast Legends,"Completed model measures 19 1/2 inches long, 9 inches high, 3inches wide and is in barn red/black. All wood and metal.",1956,51.09
7003962,The Queen Mary,6,1:700,Welly Diecast Productions,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",5088,53.63
7004002,American Airlines: MD-11S,5,1:700,Second Gear Diecast,Polished finish. Exact replia with official logos and insignias and retractable wheels,8820,36.27
